INFO 2025-10-04 23:54:39,294 basehttp "GET /admin/auth/user/ HTTP/1.1" 200 16478
INFO 2025-10-04 23:54:39,661 basehttp "GET /admin/ HTTP/1.1" 200 11935
INFO 2025-10-04 23:54:40,125 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-10-04 23:54:40,133 basehttp "GET /admin/ HTTP/1.1" 200 11935
WARNING 2025-10-04 23:54:41,284 log Method Not Allowed: /api/auth/login/
WARNING 2025-10-04 23:54:41,285 basehttp "GET /api/auth/login/ HTTP/1.1" 405 10389
INFO 2025-10-04 23:54:56,642 basehttp "POST /api/auth/login/ HTTP/1.1" 200 11522
WARNING 2025-10-04 23:55:30,469 log Not Found: /api/api/moderation/upload-policy/
WARNING 2025-10-04 23:55:30,469 basehttp "GET /api/api/moderation/upload-policy/ HTTP/1.1" 404 2754
WARNING 2025-10-04 23:55:33,908 log Unauthorized: /api/moderation/upload-policy/
WARNING 2025-10-04 23:55:33,909 basehttp "GET /api/moderation/upload-policy/ HTTP/1.1" 401 8586
WARNING 2025-10-04 23:55:37,206 log Unauthorized: /api/moderation/upload-policy/
WARNING 2025-10-04 23:55:37,207 basehttp "GET /api/moderation/upload-policy/ HTTP/1.1" 401 8586
INFO 2025-10-05 00:17:25,857 basehttp "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
INFO 2025-10-05 00:17:26,087 basehttp "POST /api/auth/login/ HTTP/1.1" 200 785
INFO 2025-10-05 00:17:34,857 basehttp "OPTIONS /api/moderation/policies/ HTTP/1.1" 200 0
INFO 2025-10-05 00:17:34,862 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 53
INFO 2025-10-05 00:17:36,034 basehttp "OPTIONS /api/moderation/history/ HTTP/1.1" 200 0
INFO 2025-10-05 00:17:36,047 basehttp "GET /api/moderation/history/ HTTP/1.1" 200 24
INFO 2025-10-05 00:17:36,620 basehttp "GET /api/moderation/policies/ HTTP/1.1" 200 53
INFO 2025-10-05 00:17:42,781 basehttp "OPTIONS /api/moderation/upload-policy/ HTTP/1.1" 200 0
INFO 2025-10-05 00:17:42,785 views User vasusharma uploading 1 policy files
INFO 2025-10-05 00:17:42,800 views Saved policy file: Hate speech not allowed.pdf
INFO 2025-10-05 00:17:42,801 policy_store Building/updating policy store with 1 files
DEBUG 2025-10-05 00:17:42,890 policy_store Loaded /home/vasu/repos/sem5project/media/policies/Hate_speech_not_allowed.pdf
INFO 2025-10-05 00:17:42,890 policy_store Split into 1 chunks
INFO 2025-10-05 00:17:46,287 SentenceTransformer Use pytorch device_name: cuda:0
INFO 2025-10-05 00:17:46,287 SentenceTransformer Load pretrained SentenceTransformer: all-MiniLM-L12-v2
